"","x"
"933","""FKBP8"""
"934","""RP11-400N13.2"""
"935","""HS1BP3"""
"936","""TGM5"""
"937","""SSNA1"""
"938","""RSU1"""
"939","""JUP"""
"940","""NBPF20"""
"941","""RP11-649A18.5"""
"942","""AC010967.2"""
"943","""YIF1A"""
"944","""RHOD"""
"945","""PHKB"""
"946","""NDUFA8"""
"947","""GPATCH8"""
"948","""SPG21"""
"949","""TTC17"""
"950","""BID"""
"951","""ANXA1"""
"952","""MAFA-AS1"""
"953","""DHX32"""
"954","""EML2"""
"955","""TICAM1"""
"956","""IL1RAP"""
"957","""PDE8A"""
"958","""AL133243.2"""
"959","""F11R"""
"960","""Z83844.1"""
"961","""PLPPR4"""
"962","""TGFBI"""
"963","""RP11-49O14.2"""
"964","""ATXN7L1"""
"965","""RP11-50I19.2"""
"966","""MSLNL"""
"967","""RPSAP12"""
"968","""PDCL2"""
"969","""ICT1"""
"970","""ACOT11"""
"971","""PPIAP11"""
"972","""RP11-15L13.4"""
"973","""RNY1P16"""
"974","""NRXN2"""
"975","""SP100"""
"976","""IRF6"""
"977","""SLC8B1"""
"978","""RP11-247A12.7"""
"979","""GOLGA3"""
"980","""TMCO3"""
"981","""TSPO"""
"982","""HSPB8"""
"983","""SLC41A2"""
"984","""PSD2"""
"985","""LRRC26"""
"986","""CYP1A1"""
"987","""CASS4"""
"988","""TMEM14A"""
"989","""MB21D2"""
"990","""SDCBP"""
"991","""ZNF124"""
"992","""NSMF"""
"993","""SLAMF7"""
"994","""SLC43A1"""
"995","""AC005954.3"""
"996","""TMEM151A"""
"997","""KLF11"""
"998","""RP11-120D5.1"""
"999","""MAP3K2"""
"1000","""PCED1B"""
"1001","""RPLP0P2"""
"1002","""SRI"""
"1003","""GLS"""
"1004","""HS3ST3B1"""
"1005","""PLA2G4C"""
"1006","""TTC21B"""
"1007","""CHMP4C"""
"1008","""FBXO27"""
"1009","""SNORD14A"""
"1010","""ANKRD11"""
"1011","""COA1"""
"1012","""ERCC2"""
"1013","""RP11-872D17.4"""
"1014","""AC008079.10"""
"1015","""RUFY2"""
"1016","""AC002310.14"""
"1017","""TLR6"""
"1018","""ANGPTL1"""
"1019","""METTL7A"""
"1020","""ZNF283"""
"1021","""MERTK"""
"1022","""SLU7"""
"1023","""HMCN2"""
"1024","""RP11-115D19.1"""
"1025","""PGLYRP1"""
"1026","""ZNF519"""
"1027","""SLC26A5"""
"1028","""SRRM5"""
"1029","""ZNF326"""
"1030","""DPP8"""
"1031","""ADIPOR1"""
"1032","""RHEBP2"""
"1033","""PRKCQ"""
"1034","""CDRT1"""
"1035","""RP11-723D22.3"""
"1036","""FTSJ1"""
"1037","""KCNAB2"""
"1038","""EDA"""
"1039","""LINC01088"""
"1040","""NRDE2"""
"1041","""ABHD11-AS1"""
"1042","""CA13"""
"1043","""RP11-215P8.3"""
"1044","""RASEF"""
"1045","""RP11-247I13.3"""
"1046","""PPP1R1B"""
"1047","""OBFC1"""
"1048","""RP5-855D21.1"""
"1049","""SLX1B"""
"1050","""RENBP"""
"1051","""SNX18P3"""
"1052","""RPE65"""
"1053","""MTIF3"""
"1054","""LRRC37A"""
"1055","""RP11-667F14.1"""
"1056","""NKIRAS2"""
"1057","""CICP3"""
"1058","""DHX35"""
"1059","""RP11-151A6.4"""
"1060","""AK3"""
"1061","""PTHLH"""
"1062","""RP11-803D5.1"""
"1063","""RP11-458D21.1"""
"1064","""NFU1"""
"1065","""DRAM2"""
"1066","""HOXA6"""
"1067","""RRAGC"""
"1068","""MTO1"""
"1069","""HEXIM1"""
"1070","""LINC01184"""
"1071","""RP3-342P20.2"""
"1072","""FAM188A"""
"1073","""FES"""
"1074","""KCTD15"""
"1075","""CAPNS1"""
"1076","""DAPK1"""
"1077","""SH3RF2"""
"1078","""LINC00992"""
"1079","""RP11-298I3.6"""
"1080","""REEP1"""
"1081","""DSC2"""
"1082","""RP11-723J4.3"""
"1083","""RP11-1228E12.1"""
"1084","""LPAR5"""
"1085","""ZC3H18"""
"1086","""PPP1R1C"""
"1087","""CACNA1G"""
"1088","""CLTB"""
"1089","""RP11-92C4.3"""
"1090","""ADORA2A-AS1"""
"1091","""WWTR1"""
"1092","""PRPS1P2"""
"1093","""SNRPCP3"""
"1094","""GOLGA7"""
"1095","""PPP1R7"""
"1096","""PSPHP1"""
"1097","""DCTN2"""
"1098","""STON2"""
"1099","""FZD4"""
"1100","""MSH4"""
"1101","""PNMA1"""
"1102","""NRTN"""
"1103","""ZBTB8B"""
"1104","""AC005042.2"""
