"","x"
"949","RP1-283E3.8"
"950","MRPL49"
"951","XRCC3"
"952","ZNF837"
"953","RP11-513G19.1"
"954","DNAAF1"
"955","FAM131C"
"956","CGGBP1"
"957","CYB561D1"
"958","FAM83F"
"959","RP11-295P9.12"
"960","SERTAD1"
"961","RP6-74O6.2"
"962","CACNA2D3"
"963","MLK7-AS1"
"964","KCNQ2"
"965","AC064875.2"
"966","RP11-425L10.1"
"967","COL20A1"
"968","CIRBP"
"969","RP11-34P13.14"
"970","LIN7B"
"971","CATSPERG"
"972","STMN1"
"973","CILP2"
"974","RP11-54O7.16"
"975","ZNF574"
"976","CCDC154"
"977","ATP7B"
"978","MSH6"
"979","RP11-305L7.1"
"980","KCNH3"
"981","TUBB3"
"982","CLIC2"
"983","SPATA13"
"984","SH3GLB2"
"985","MT-TY"
"986","AP000347.4"
"987","EYA4"
"988","RP11-57H14.5"
"989","HYPK"
"990","RPGR"
"991","TAF6"
"992","RP3-368A4.5"
"993","LOXL4"
"994","DGCR12"
"995","ADAP2"
"996","HDAC8"
"997","PBX2"
"998","DYNC2LI1"
"999","RP1-261D10.2"
"1000","TYRO3"
"1001","EMC8"
"1002","FBXO2"
"1003","BEGAIN"
"1004","SCN8A"
"1005","PCNXL2"
"1006","PLB1"
"1007","TM7SF2"
"1008","CUL1"
"1009","RP11-1136G4.2"
"1010","LGALS4"
"1011","RBM22P2"
"1012","TSNAXIP1"
"1013","RP11-392O17.1"
"1014","RP11-335O4.3"
"1015","PHF3"
"1016","HOTAIR"
"1017","LMLN"
"1018","LTK"
"1019","GID4"
"1020","DNAH6"
"1021","WASH3P"
"1022","MSL1"
"1023","UQCRHL"
"1024","INHBE"
"1025","CYP20A1"
"1026","ERRFI1"
"1027","SLC35F1"
"1028","ZNF526"
"1029","HMGN1"
"1030","AP001107.1"
"1031","RP11-326C3.2"
"1032","KMT2D"
"1033","LTB4R"
"1034","AC093843.1"
"1035","KIAA1109"
"1036","TMPRSS6"
"1037","FAM153C"
"1038","LRRC3"
"1039","ANKIB1"
"1040","NAIP"
"1041","ITGA10"
"1042","RP11-785D18.3"
"1043","MT-TM"
"1044","OXTR"
"1045","TTC38"
"1046","KLC1"
"1047","LIME1"
"1048","H3F3BP1"
"1049","ALKBH6"
"1050","RNMT"
"1051","RP1-89D4.1"
"1052","POLR2F"
"1053","RP11-206P5.1"
"1054","SCAMP4"
"1055","WASH4P"
"1056","RP4-751H13.5"
"1057","SPSB3"
"1058","FAM131A"
"1059","ISOC2"
"1060","VWA1"
"1061","MON2"
"1062","RP11-890B15.3"
"1063","NR2F6"
"1064","PCNXL4"
"1065","EXOC7"
"1066","USP39"
"1067","RP11-21B21.4"
"1068","HN1L"
"1069","SHB"
"1070","FLCN"
"1071","RPL24P4"
"1072","MT-TC"
"1073","RP11-345P4.7"
"1074","SENP7"
"1075","AC005785.5"
"1076","RP11-69E11.4"
"1077","VPS8"
"1078","NEK3"
"1079","RP11-561B11.2"
"1080","IL31RA"
"1081","ARID4A"
"1082","YWHAE"
"1083","MIR6895"
"1084","RP11-401P9.7"
"1085","CCDC130"
"1086","TTC25"
"1087","CCT7P2"
"1088","FSTL5"
"1089","RSRC2"
"1090","LRGUK"
"1091","MT-TL1"
"1092","C1orf162"
"1093","NUTM2B"
"1094","MRPS31P5"
"1095","L3MBTL1"
"1096","LMO2"
"1097","CRTC1"
"1098","NME3"
"1099","GFAP"
"1100","MPPE1"
"1101","RP11-188P20.3"
"1102","KIAA1211L"
"1103","IFT140"
"1104","PDGFRL"
"1105","RETSAT"
"1106","ARHGAP33"
"1107","DLG4"
"1108","TFPT"
"1109","CD226"
"1110","MCL1"
"1111","KANSL1"
"1112","CTD-2081C10.7"
"1113","CHCHD3"
"1114","KIF27"
"1115","SUGP1"
"1116","AMH"
"1117","OLA1P1"
"1118","CACNA2D4"
"1119","IFT43"
"1120","CHAF1B"
"1121","PDE7A"
"1122","DMAP1"
"1123","HNRNPH1"
"1124","CYP19A1"
"1125","IVNS1ABP"
"1126","RNF44"
"1127","KEAP1"
"1128","AC002398.11"
"1129","BICD2"
"1130","POLR1D"
"1131","INTS5"
"1132","SUCLA2"
"1133","CUL9"
"1134","KLHL41"
"1135","AC142293.3"
"1136","MRC2"
"1137","CXXC4"
"1138","PIK3C2A"
"1139","CBARP"
"1140","ABCG1"
"1141","GRAP2"
"1142","ERAS"
"1143","RP11-774O3.3"
"1144","ZNF554"
"1145","PCMT1"
"1146","ST8SIA6"
"1147","ZNF426"
"1148","AC002398.13"
"1149","FANCB"
"1150","AAED1"
"1151","URAHP"
"1152","OXGR1"
"1153","LY6G5B"
"1154","ZNF641"
"1155","MFSD8"
"1156","AC145212.4"
"1157","TARDBP"
"1158","ABHD16A"
"1159","RSPH1"
"1160","HAPLN2"
"1161","DIRAS3"
"1162","GPR137"
"1163","AC005532.5"
"1164","RP11-2E11.9"
"1165","PEAR1"
"1166","TF"
"1167","GOLGA6L9"
"1168","RP11-262H14.3"
"1169","KCNG1"
"1170","BZRAP1"
"1171","STARD5"
"1172","BRK1"
"1173","PAPSS1"
"1174","ESR2"
"1175","WDR76"
"1176","RNASET2"
"1177","CCDC148"
"1178","ATF7IP"
"1179","ZNF286B"
"1180","COL18A1"
"1181","HNRNPCP1"
"1182","RBM25"
"1183","RAB23"
"1184","RP11-1212A22.1"
"1185","FAM71F2"
"1186","DCAF15"
"1187","PCGF1"
"1188","MCAM"
"1189","COLGALT2"
"1190","HLA-DOA"
"1191","AP000347.2"
"1192","MAN2A2"
"1193","NTN5"
"1194","TARBP2"
"1195","SEPW1"
"1196","RHBDL2"
"1197","RP11-569G13.2"
"1198","HHIP-AS1"
"1199","WNT8B"
"1200","ZSCAN5D"
"1201","CIART"
"1202","RP11-588H23.3"
"1203","RAB24"
"1204","NABP2"
"1205","LRRC37A5P"
"1206","DDX17"
"1207","ALOX15"
"1208","SKP1"
"1209","TNKS2-AS1"
"1210","RBM5"
"1211","SDHAF1"
"1212","PPP1R3F"
"1213","CTD-2591A1.1"
"1214","NPAS1"
"1215","PLEKHH3"
"1216","HCLS1"
"1217","ARHGEF6"
"1218","AC144530.1"
"1219","AP000692.9"
"1220","VPS36"
"1221","RP11-295H24.3"
"1222","C9orf114"
"1223","A1BG"
"1224","LRRC41"
"1225","RNU6-97P"
"1226","ADGRG5"
"1227","HEATR5B"
"1228","NBPF11"
"1229","SLC46A1"
"1230","RP11-755F10.3"
"1231","MT-ND5"
"1232","CNTROB"
"1233","LST1"
"1234","RP11-490H24.5"
"1235","CTDNEP1"
"1236","PCNP"
"1237","CDK11A"
"1238","CENPL"
"1239","FOXO1B"
"1240","ZNHIT3"
"1241","RDH5"
"1242","MRPL38"
"1243","SCUBE2"
"1244","AC090498.1"
"1245","TSEN15"
"1246","RP3-412A9.16"
"1247","CICP14"
"1248","HGS"
"1249","PALD1"
"1250","RP11-159D12.2"
"1251","MRPS23"
"1252","C7orf61"
"1253","XRN1"
"1254","KIAA0430"
"1255","RICTOR"
"1256","IKZF4"
"1257","DNAJC7"
"1258","RP11-401P9.5"
"1259","SGSM2"
"1260","SKIV2L"
"1261","CCDC17"
"1262","TMEM203"
"1263","PITRM1"
"1264","TSKU"
"1265","PDE4C"
"1266","HSPG2"
"1267","RP11-408A13.3"
"1268","ABCA5"
"1269","VBP1"
"1270","LDLRAD2"
"1271","PIAS3"
"1272","LTN1"
"1273","NCLN"
"1274","RP11-344N10.2"
"1275","RASSF8"
"1276","WDR93"
"1277","LIN37"
"1278","DARS-AS1"
"1279","TMED1"
"1280","RP11-707P17.2"
"1281","ABHD18"
"1282","RP11-488L18.6"
"1283","REEP5"
"1284","ITIH3"
"1285","UBL4A"
"1286","LZTR1"
"1287","WEE2-AS1"
"1288","MT-ATP8"
"1289","EID3"
"1290","PRDM8"
"1291","RP11-64C12.3"
"1292","CTD-2270N23.1"
"1293","BHLHA15"
"1294","NCBP3"
"1295","NPHP3"
"1296","POGZ"
"1297","COL4A6"
"1298","PILRA"
"1299","PILRB"
"1300","AC004985.12"
