"","x"
"1147","RP11-692D12.1"
"1148","KLF14"
"1149","AC068499.10"
"1150","CTD-3035K23.7"
"1151","RP11-544I20.2"
"1152","CTC-559E9.6"
"1153","AC004854.4"
"1154","RP11-88E10.5"
"1155","LA16c-431H6.6"
"1156","ORC4"
"1157","RP11-250B2.4"
"1158","PYM1"
"1159","AC006159.4"
"1160","PHF7"
"1161","RP11-521I2.3"
"1162","CLEC11A"
"1163","RP11-98I9.4"
"1164","ZNF346-IT1"
"1165","RP1-80N2.2"
"1166","LINC00944"
"1167","RP11-521D12.5"
"1168","KMT5B"
"1169","LINC01023"
"1170","EEF1GP5"
"1171","FRG1BP"
"1172","TSSK4"
"1173","TSTD3"
"1174","RP11-151A10.3"
"1175","CTD-2270P14.5"
"1176","GS1-279B7.2"
"1177","CYCSP10"
"1178","ZNF112"
"1179","DAAM2"
"1180","TRIM7"
"1181","STK24-AS1"
"1182","RAD54L2"
"1183","RP11-423H2.3"
"1184","KLHL2P1"
"1185","RPL3P4"
"1186","SOWAHD"
"1187","RP5-1186P10.2"
"1188","SPDYE18"
